Alternate;Standard;Symbol;Name;Color
1to;1to;1°;sheet;black
bs;bs;bs;broadside;darkgray
2long;2long;2°;folio;darkblue
2to;2fo;2°;folio;darkblue
2small;2small;2°;folio;darkblue
4long;4long;4°;quarto;darkgreen
4to;4to;4°;quarto;darkgreen
4small;4small;4°;quarto;darkgreen
6long;6long;6°;sexto;lightgreen
6to;6to;6°;sexto;lightgreen
6small;6small;6°;sexto;lightgreen
8long;8long;8°;octavo;orange
8to;8vo;8°;octavo;orange
8small;8small;8°;octavo;orange
12long;12long;12°;duodecimo;red
12to;12mo;12°;duodecimo;red
16to;16mo;16°;sextodecimo;lightbrown
16long;16long;16°;sextodecimo;lightbrown
18to;18mo;18°;octodecimo;brown
20to;20mo;20°;vigesimo;darkbrown
21to;21mo;21°;21mo;darkbrown
24to;24mo;24°;vigesimo-quarto;darkyellow
24long;24long;24°;vigesimo-quarto;darkyellow
32to;32mo;32°;trigesimo-segundo;pink
40to;40mo;40°;quadraquinto;lightgray
48to;48mo;48°;quadragesimo-octavo;lightred
64to;64mo;64°;sexagesimo-quarto;lightblue
80to;80mo;80°;octogentesimo;green
84to;84mo;84°;octoginta-quarto;magenta
other;other;other;other;lightgray
NA;NA;NA;NA;white

