synonyme|name
vthi |i 
uthi |i 
uti |i 
Lith i |trykt i 
på nytt medh egen bekonstnadt vplagd och tryckt|trykt
På nytt medh egen bekostnadt vplagd och|trykt
tryckt och vplagdt|trykt
Förut Stockholm och å nyo uplagd i|trykt
then konungzlige hufwudstaden|trykt
aff vthgångit i |
der königlichen heubtstadt |
omtryckt|trykt
trycht|trykt
tryckt|trykt
trykkt|trykt
tryct|trykt
ttyckt|trykt
tryck|trykt
trykt af |trykt 
trykt hos |trykt 
trykt på|trykt
trykt uti|trykt
trykt uthi|trykt
Tryckt vthi |trykt 
vthi |trykt
vthi$|trykt
trykt j |trykt 
tryckt i |trykt 
^I |trykt 
^i |trykt 
printe j |trykt 
printe i |trykt 
trykt|print
^ime |print 
^ime à |print 
^imè a |print 
^ime á |print
ingressu |print
lith i |print
nu på nytt vplagdt och |print
^och i |
^printe i |print 
^printi |print
^vtvi |
revisa et recusa |print
samma åhr |
på nytt$|
sic$|
Förf\.|
^Förf\.$|
förf |
^förf$| 
Författare | 
författare |
^författare$| 
